case_order	dataset	variant	search_role	case_name	ef_search	queue_size	warmup_size	k_neighbors	yaml_path	stats_path	base_yaml	note
45	pubmed	raw	trim_ef	pubmed_raw_k10_ef100	100	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/pubmed_raw_k10_ef100.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/pubmed_raw_k10_ef100_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/pubmed_raw_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
46	pubmed	raw	trim_ef	pubmed_raw_k10_ef150	150	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/pubmed_raw_k10_ef150.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/pubmed_raw_k10_ef150_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/pubmed_raw_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
47	pubmed	raw	trim_ef	pubmed_raw_k10_ef200	200	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/pubmed_raw_k10_ef200.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/pubmed_raw_k10_ef200_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/pubmed_raw_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
48	pubmed	raw	trim_ef	pubmed_raw_k10_ef250	250	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/pubmed_raw_k10_ef250.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/pubmed_raw_k10_ef250_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/pubmed_raw_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
49	glove2m	normalized	trim_ef	glove2m_normalized_k10_ef100	100	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/glove2m_normalized_k10_ef100.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/glove2m_normalized_k10_ef100_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/glove2m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
50	glove2m	normalized	trim_ef	glove2m_normalized_k10_ef200	200	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/glove2m_normalized_k10_ef200.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/glove2m_normalized_k10_ef200_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/glove2m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
51	glove2m	normalized	trim_ef	glove2m_normalized_k10_ef300	300	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/glove2m_normalized_k10_ef300.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/glove2m_normalized_k10_ef300_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/glove2m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
52	glove2m	normalized	trim_ef	glove2m_normalized_k10_ef400	400	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/glove2m_normalized_k10_ef400.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/glove2m_normalized_k10_ef400_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/glove2m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
53	glove2m	normalized	trim_ef	glove2m_normalized_k10_ef500	500	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/glove2m_normalized_k10_ef500.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/glove2m_normalized_k10_ef500_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/glove2m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
54	glove2m	normalized	trim_ef	glove2m_normalized_k10_ef600	600	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/glove2m_normalized_k10_ef600.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/glove2m_normalized_k10_ef600_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/glove2m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
